"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954370, SEN S/N: 20954370, LBL: Aire_5m_070425)"	"Acoplador separado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Acoplador adjunto (LGR S/N: 20954370, SEN S/N: 20954370)"	"Host conectado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Parado (LGR S/N: 20954370, SEN S/N: 20954370)"	"Final de archivo (LGR S/N: 20954370, SEN S/N: 20954370)"
370	23/04/25	21:00:00	16.939					
371	23/04/25	22:00:00	16.915					
372	23/04/25	23:00:00	16.963					
373	24/04/25	00:00:00	17.153					
374	24/04/25	01:00:00	17.177					
375	24/04/25	02:00:00	17.225					
376	24/04/25	03:00:00	17.225					
377	24/04/25	04:00:00	17.225					
378	24/04/25	05:00:00	17.225					
379	24/04/25	06:00:00	17.225					
380	24/04/25	07:00:00	17.225					
381	24/04/25	08:00:00	17.225					
382	24/04/25	09:00:00	17.272					
383	24/04/25	10:00:00	17.296					
384	24/04/25	11:00:00	17.344					
385	24/04/25	12:00:00	17.344					
386	24/04/25	13:00:00	17.368					
387	24/04/25	14:00:00	17.415					
388	24/04/25	15:00:00	17.701					
389	24/04/25	16:00:00	17.772					
390	24/04/25	17:00:00	17.558					
391	24/04/25	18:00:00	17.415					
392	24/04/25	19:00:00	17.106					
393	24/04/25	20:00:00	16.630					
394	24/04/25	21:00:00	16.677					
395	24/04/25	22:00:00	16.963					
396	24/04/25	23:00:00	17.153					
397	25/04/25	00:00:00	16.773					
398	25/04/25	01:00:00	16.463					
399	25/04/25	02:00:00	17.177					
400	25/04/25	03:00:00	17.225					
401	25/04/25	04:00:00	17.296					
402	25/04/25	05:00:00	17.225					
403	25/04/25	06:00:00	17.201					
404	25/04/25	07:00:00	17.249					
405	25/04/25	08:00:00	17.249					
406	25/04/25	09:00:00	17.249					
407	25/04/25	10:00:00	17.272					
408	25/04/25	11:00:00	17.439					
409	25/04/25	12:00:00	17.510					
