Project,Id,Date of observation,Latitude,Longitude,Observer,Upload date,Edition date,Highlighted,Highlight type,Validated,Species,Photo name,Comments,Editor,Editor comments,Link,Habitat,Depth,Abundance
Crustacis Decàpodes,425771,2024-08-11,36.72181,-2.18729,Francisco Ruiz ,2024-08-13 11:37:45+00:00,2024-08-13 11:37:45+00:00,No,No destacada,No,Percnon gibbesi,,"decenas de ejemplares forrajeando en los cantos rodados del fondo, que dominan los pirmeros 20m de la costa, hasta unos 2,5 m de profundidad. No tengo fotografías ya que la cámara se me estropeó hace unas semanas",,,https://www.observadoresdelmar.es/Observations/425771,Rocks,,100
Crustacis Decàpodes,425797,2024-04-13,42.04205,3.2287,Cristian Rodriguez Diez ,2024-08-13 17:54:56+00:00,2025-10-20 11:46:35.010251+00:00,No,No destacada,No,Homarus gammarus,CristianRodriguez_Homarus-gammarus_638591684967029122.webp,,,,https://www.observadoresdelmar.es/Observations/425797,Crevices,30,1
Crustacis Decàpodes,425808,2024-08-15,39.4858513,2.73792,Enrique Oñate Cabot,2024-08-15 13:38:01+00:00,2025-10-20 12:58:57.369682+00:00,No,No destacada,No,Pachygrapsus marmoratus,EnriqueOñateCabot_Pachygrapsus-marmoratus_638593258815037764.webp,,,,https://www.observadoresdelmar.es/Observations/425808,Rocks,,4
Crustacis Decàpodes,425809,2024-08-15,39.48585,2.73792,Enrique Oñate Cabot,2024-08-15 13:38:46+00:00,2025-11-24 12:03:36.518570+00:00,No,No destacada,Yes,Eriphia verrucosa,EnriqueOñateCabot_Eriphia-verrucosa_638593259261853809.webp,,,,https://www.observadoresdelmar.es/Observations/425809,Rocks,,1
Crustacis Decàpodes,425827,2024-07-12,39.1791801,-0.22934,Mario Rodr ,2024-08-16 23:28:50+00:00,2025-10-20 10:50:27.343181+00:00,No,No destacada,No,Pachygrapsus marmoratus,MarioRodr_Pachygrapsus-marmoratus_638594477303330652.webp,,,,https://www.observadoresdelmar.es/Observations/425827,Rocks,,
Crustacis Decàpodes,425828,2024-07-12,39.1791801,-0.22934,Mario Rodr ,2024-08-16 23:29:41+00:00,2025-10-20 10:50:27.670981+00:00,No,No destacada,No,Pachygrapsus marmoratus,MarioRodr_Pachygrapsus-marmoratus_638594477817113115.webp,,,,https://www.observadoresdelmar.es/Observations/425828,Rocks,,
Crustacis Decàpodes,425829,2024-07-12,39.1791801,-0.22934,Mario Rodr ,2024-08-16 23:30:37+00:00,2025-10-20 10:50:27.986334+00:00,No,No destacada,No,Pachygrapsus marmoratus,MarioRodr_Pachygrapsus-marmoratus_638594478377421761.webp,,,,https://www.observadoresdelmar.es/Observations/425829,Rocks,,
Crustacis Decàpodes,425862,2024-08-20,38.73788,1.443362,Luis Escriche Tur,2024-08-22 10:37:04+00:00,2025-10-20 11:46:31.464435+00:00,No,No destacada,No,Pachygrapsus marmoratus,LuisEscricheTur_Pachygrapsus-marmoratus_638599198241678676.webp,Estaven tots concentrats entre dues roques a la platja.,,,https://www.observadoresdelmar.es/Observations/425862,Rocks,,4
Crustacis Decàpodes,425863,2024-08-20,38.73788,1.443362,Luis Escriche Tur,2024-08-22 10:41:11+00:00,2025-11-24 12:03:36.525895+00:00,No,No destacada,Yes,Eriphia verrucosa,LuisEscricheTur_Eriphia-verrucosa_638599200711753356.webp,"Entre dues roques, hi havia aquest cranc, junt amb altres crancs negres (aparentment més abundant).",,,https://www.observadoresdelmar.es/Observations/425863,Rocks,,1
Crustacis Decàpodes,425867,2024-08-21,41.96137,3.23159,Martí Vilanova ,2024-08-22 12:52:07+00:00,2025-10-20 11:46:40.535175+00:00,No,No destacada,No,Dromia personata,MartíVilanova_Dromia-personata_638599279272831240.webp,,,,https://www.observadoresdelmar.es/Observations/425867,Rocks,20,1
Crustacis Decàpodes,425868,2024-08-21,41.96137,3.23159,Martí Vilanova ,2024-08-22 12:52:07+00:00,2025-10-20 11:46:40.661809+00:00,No,No destacada,No,Palinurus elephas,MartíVilanova_Palinurus-elephas_638599279273513908.webp,,,,https://www.observadoresdelmar.es/Observations/425868,Rocks,11,10
Crustacis Decàpodes,425890,2024-08-19,38.966934,1.2421,Luis Escriche Tur,2024-08-23 10:48:29+00:00,2025-10-20 11:46:32.727584+00:00,No,No destacada,No,Clibanarius erythropus,LuisEscricheTur_Clibanarius-erythropus_638600069093137259.webp,,,,https://www.observadoresdelmar.es/Observations/425890,Rocks,1,4
Crustacis Decàpodes,425905,2024-08-22,42.11482,3.17337,Itziar Burgues Martinez ,2024-08-25 14:35:39+00:00,2025-10-20 11:46:33.285180+00:00,No,No destacada,No,Palinurus elephas,ItziarBurguesMartinez_Palinurus-elephas_638601933391155687.webp,,,,https://www.observadoresdelmar.es/Observations/425905,Crevices,15,3
Crustacis Decàpodes,425906,2024-08-15,41.72149,2.94039,Itziar Burgues Martinez ,2024-08-25 14:36:38+00:00,2025-10-20 11:46:33.736577+00:00,No,No destacada,No,Inachus phalangium,ItziarBurguesMartinez_Inachus-phalangium_638601933985780315.webp,,,,https://www.observadoresdelmar.es/Observations/425906,Rocks,8,
